mood,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,timeSignature
calm,0.949,0.735,0.456,0.878,0.118,-12.937,0.0524,147.97,0.708,4
calm,0.0859,0.773,0.291,0.898,0.117,-15.935,0.0781,80.006,0.601,4
calm,0.374,0.636,0.438,0.837,0.873,-12.56,0.0707,149.981,0.915,4
calm,0.842,0.768,0.574,0.926,0.115,-7.573,0.0578,74.997,0.299,4
calm,0.488,0.766,0.238,0.935,0.124,-11.831,0.0445,105.0,0.394,4
calm,0.382,0.713,0.343,0.383,0.26,-12.351,0.0331,112.861,0.389,4
calm,0.953,0.618,0.243,0.902,0.0736,-13.537,0.122,90.026,0.321,4
calm,0.281,0.728,0.473,0.865,0.153,-7.572,0.0773,76.01,0.549,4
calm,0.779,0.575,0.244,0.742,0.102,-16.842,0.0401,144.087,0.169,4
calm,0.418,0.742,0.334,0.0193,0.105,-9.704,0.068,80.008,0.615,4
calm,0.0874,0.793,0.469,0.259,0.111,-7.57,0.191,88.001,0.222,4
calm,0.0911,0.725,0.434,0.789,0.119,-8.768,0.192,179.936,0.957,4
calm,0.107,0.64,0.519,0.626,0.199,-7.866,0.309,158.944,0.393,4
calm,0.467,0.658,0.7,0.226,0.245,-10.132,0.0881,150.125,0.945,4
calm,0.758,0.785,0.449,0.822,0.235,-9.813,0.172,83.961,0.506,4
calm,0.829,0.795,0.0365,0.848,0.089,-19.728,0.0826,130.041,0.202,4
calm,0.7,0.745,0.383,0.954,0.108,-17.446,0.0614,80.005,0.157,4
calm,0.714,0.78,0.336,0.448,0.128,-13.902,0.173,140.118,0.94,4
calm,0.46,0.757,0.173,0.939,0.082,-14.229,0.0781,82.009,0.248,4
calm,0.665,0.612,0.0997,0.848,0.0811,-19.531,0.0325,77.51,0.215,4
calm,0.407,0.517,0.509,0.311,0.251,-9.917,0.137,74.98,0.37,4
calm,0.475,0.588,0.354,0.863,0.119,-10.283,0.0469,80.018,0.316,4
calm,0.673,0.834,0.289,0.849,0.143,-8.706,0.047,88.015,0.821,4
calm,0.352,0.76,0.731,0.652,0.144,-7.041,0.0515,87.996,0.471,4
calm,0.83,0.641,0.28,0.913,0.114,-13.989,0.102,168.064,0.143,4
calm,0.0385,0.569,0.406,0.876,0.092,-13.188,0.0379,168.015,0.634,4
calm,0.935,0.657,0.203,0.921,0.107,-15.717,0.0428,74.995,0.0626,4
calm,0.904,0.624,0.172,0.926,0.0878,-20.261,0.0512,153.974,0.336,4
calm,0.741,0.73,0.356,0.908,0.383,-10.137,0.0509,88.011,0.266,4
calm,0.958,0.653,0.167,0.931,0.0986,-19.743,0.0396,75.962,0.461,3
calm,0.785,0.575,0.281,0.862,0.182,-12.741,0.0452,80.018,0.368,4
calm,0.731,0.551,0.186,0.678,0.128,-16.455,0.0434,156.08,0.244,4
calm,0.636,0.77,0.521,0.823,0.865,-14.079,0.076,136.021,0.302,4
calm,0.558,0.594,0.386,0.931,0.041,-12.994,0.062,79.923,0.327,4
calm,0.91,0.78,0.395,0.949,0.107,-10.114,0.129,170.017,0.406,4
calm,0.748,0.83,0.151,0.0794,0.138,-8.538,0.277,87.954,0.442,4
calm,0.894,0.529,0.691,0.58,0.0875,-7.442,0.124,84.645,0.557,4
calm,0.345,0.644,0.526,0.389,0.0723,-9.351,0.0691,160.133,0.299,4
calm,0.812,0.594,0.567,0.917,0.109,-13.506,0.0366,85.014,0.184,4
calm,0.117,0.778,0.348,0.366,0.396,-11.291,0.0712,83.975,0.345,4
calm,0.329,0.471,0.431,0.0,0.0854,-6.129,0.0342,157.98,0.289,4
calm,0.21,0.686,0.714,0.041,0.747,-7.635,0.0804,150.121,0.704,4
calm,0.442,0.758,0.341,0.243,0.123,-10.172,0.105,80.007,0.447,4
calm,0.864,0.657,0.294,0.886,0.0822,-12.695,0.0413,81.99,0.6,4
calm,0.246,0.783,0.183,0.708,0.142,-10.173,0.103,140.049,0.287,4
calm,0.783,0.757,0.203,0.848,0.112,-14.426,0.0604,156.04,0.298,4
calm,0.457,0.675,0.609,0.663,0.0922,-8.461,0.0377,163.031,0.235,4
calm,0.951,0.644,0.425,0.931,0.141,-8.185,0.0362,75.015,0.268,4
calm,0.808,0.687,0.283,0.889,0.11,-13.306,0.113,175.857,0.37,4
calm,0.925,0.677,0.291,0.922,0.107,-14.449,0.103,85.096,0.0355,4
calm,0.683,0.826,0.466,0.476,0.116,-7.262,0.0729,87.043,0.571,4
calm,0.497,0.575,0.198,0.644,0.12,-12.03,0.0627,85.021,0.167,4
calm,0.468,0.706,0.35,0.33,0.115,-10.072,0.0434,155.877,0.695,4
calm,0.705,0.534,0.486,0.927,0.323,-10.058,0.0535,81.903,0.0937,4
calm,0.348,0.704,0.607,0.5,0.107,-8.25,0.0456,74.983,0.216,4
calm,0.925,0.682,0.339,0.894,0.105,-10.693,0.0457,75.047,0.383,4
calm,0.264,0.695,0.206,0.884,0.14,-8.498,0.0689,85.016,0.521,4
calm,0.806,0.713,0.311,0.855,0.0673,-11.484,0.0369,90.027,0.133,4
calm,0.293,0.645,0.532,0.496,0.427,-7.572,0.0324,79.305,0.405,4
calm,0.632,0.711,0.242,0.742,0.0888,-13.298,0.259,81.009,0.625,4
calm,0.22,0.682,0.326,0.367,0.1,-14.364,0.0296,87.985,0.654,4
calm,0.639,0.616,0.348,0.936,0.0797,-12.401,0.0408,87.977,0.334,4
calm,0.481,0.669,0.306,0.00491,0.0762,-9.112,0.0872,170.055,0.227,4
calm,0.0207,0.663,0.36,0.905,0.141,-2.549,0.067,86.132,0.608,4
calm,0.656,0.68,0.398,0.848,0.0931,-13.87,0.056,79.046,0.396,4
calm,0.678,0.755,0.422,0.854,0.109,-11.775,0.0333,119.995,0.565,4
calm,0.949,0.498,0.478,0.371,0.286,-10.629,0.0441,84.385,0.24,4
calm,0.131,0.333,0.637,1.8e-05,0.149,-4.904,0.0581,139.898,0.132,4
calm,0.416,0.82,0.17,0.859,0.0986,-12.969,0.0971,129.993,0.29,4
calm,0.0986,0.63,0.455,0.864,0.505,-8.672,0.0656,84.977,0.794,4
calm,0.926,0.53,0.175,0.114,0.103,-7.119,0.16,171.1,0.161,4
calm,0.896,0.813,0.479,0.926,0.139,-11.741,0.361,145.179,0.568,4
calm,0.422,0.767,0.172,0.158,0.0845,-18.683,0.0667,135.884,0.285,4
calm,0.762,0.494,0.254,0.865,0.0884,-13.709,0.0351,156.001,0.147,4
calm,0.203,0.829,0.197,0.746,0.0994,-13.804,0.154,90.997,0.32,4
calm,0.855,0.669,0.368,0.586,0.119,-15.863,0.0357,89.977,0.282,4
calm,0.488,0.716,0.474,0.458,0.117,-10.607,0.131,159.993,0.706,4
calm,0.911,0.624,0.485,0.858,0.125,-11.829,0.0321,130.014,0.114,4
calm,0.926,0.359,0.36,0.917,0.152,-11.751,0.0903,78.18,0.0725,4
calm,0.906,0.629,0.437,0.634,0.127,-7.825,0.0452,84.015,0.206,4
calm,0.217,0.629,0.379,0.875,0.109,-15.653,0.262,194.399,0.112,4
calm,0.741,0.658,0.335,0.872,0.133,-14.835,0.218,79.895,0.466,4
calm,0.678,0.639,0.278,0.915,0.0995,-12.84,0.0388,82.009,0.117,4
calm,0.794,0.735,0.392,0.9,0.0928,-10.111,0.0843,80.021,0.19,4
calm,0.00524,0.576,0.595,0.000257,0.305,-6.279,0.186,81.941,0.298,4
calm,0.412,0.708,0.32,0.389,0.145,-17.256,0.037,72.055,0.621,4
calm,0.44,0.599,0.38,0.901,0.111,-7.541,0.134,93.855,0.149,4
calm,0.937,0.665,0.373,0.918,0.111,-8.363,0.38,79.478,0.689,4
calm,0.153,0.602,0.26,0.252,0.104,-11.098,0.166,178.054,0.631,4
calm,0.482,0.55,0.441,0.734,0.17,-12.384,0.144,145.886,0.963,4
calm,0.311,0.701,0.453,0.927,0.146,-6.91,0.0881,82.076,0.405,4
calm,0.0125,0.625,0.43,0.631,0.423,-10.981,0.03,74.494,0.186,4
calm,0.592,0.7,0.134,0.845,0.107,-17.898,0.0771,160.033,0.435,4
calm,0.138,0.558,0.809,0.968,0.199,-10.709,0.0388,97.088,0.433,4
calm,0.799,0.609,0.237,0.935,0.113,-13.647,0.112,194.043,0.526,4
calm,0.803,0.792,0.232,0.866,0.104,-20.258,0.179,79.983,0.479,4
calm,0.838,0.782,0.349,0.951,0.119,-11.464,0.0675,74.913,0.262,4
calm,0.738,0.391,0.473,0.848,0.161,-8.124,0.0875,81.005,0.408,4
calm,0.439,0.393,0.468,0.9,0.482,-10.046,0.0546,109.846,0.112,5
calm,0.745,0.688,0.181,0.702,0.112,-13.267,0.0934,75.041,0.715,3
calm,0.877,0.622,0.288,0.948,0.0826,-11.267,0.041,79.972,0.398,4
calm,0.68,0.662,0.344,0.934,0.119,-13.254,0.0407,93.003,0.309,4
calm,0.689,0.775,0.432,0.928,0.0933,-7.428,0.14,81.994,0.213,4
calm,0.488,0.701,0.486,0.856,0.116,-6.868,0.0677,86.029,0.238,4
calm,0.771,0.495,0.364,0.594,0.0852,-8.503,0.0394,172.058,0.358,4
calm,0.474,0.834,0.405,0.853,0.103,-11.788,0.0887,155.964,0.304,4
